Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,England,University of Plymouth,Data Science and Business Analytics,"3,272,576 BDT / year",1 year,4.3,104,3%,https://www.mastersportal.com/studies/273074/data-science-and-business-analytics.html?ref=search_card
Ireland,Maynooth,Maynooth University,IT-Enabled Innovation,"2,537,539 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/172596/it-enabled-innovation.html?ref=search_card
Ireland,Athlone,Technological University of the Shannon,Software Design with Artificial Intelligence,"2,467,052 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/352793/software-design-with-artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Sussex,Artificial Intelligence and Adaptive Systems (with an industrial placement year),"5,053,242 BDT / year",2 years,4.2,83,1%,https://www.mastersportal.com/studies/335460/artificial-intelligence-and-adaptive-systems.html?ref=search_card
United Kingdom,England,University of Bath,Computer Science,"4,459,687 BDT / year",1 year,4.4,60,2%,https://www.mastersportal.com/studies/290049/computer-science.html?ref=search_card
United Kingdom,England,University of York,Advanced Computer Science,"5,117,410 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/42792/advanced-computer-science.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Business Analytics,"5,374,083 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/154967/business-analytics.html?ref=search_card
United States,New Hampshire,New England College,Computer Information Systems,"1,886,027 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/216584/computer-information-systems.html?ref=search_card
United Kingdom,Scotland,University of Dundee,Business Analytics and International Business,"3,689,669 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/460763/business-analytics-and-international-business.html?ref=search_card
United Kingdom,England,University of York,Mental Health Research,"3,835,651 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/425402/mental-health-research.html?ref=search_card
United Kingdom,England,University of Bristol,Immersive Technologies (Virtual and Augmented Reality),"5,646,798 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/432909/immersive-technologies.html?ref=search_card
United Kingdom,England,University of Bradford,Artificial Intelligence and Machine Learning,"4,072,913 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/424876/artificial-intelligence-and-machine-learning.html?ref=search_card
United Kingdom,England,Newcastle University,Advanced Data Science,"5,085,326 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7153/advanced-data-science.html?ref=search_card
United Kingdom,England,Sheffield Hallam University,Geographical Information Systems,"2,983,819 BDT / year",1 year,4.2,89,5%,https://www.mastersportal.com/studies/16680/geographical-information-systems.html?ref=search_card
Ireland,Maynooth,Maynooth University,Computer Science (Applied),"2,114,616 BDT / year",2 years,4.2,63,4%,https://www.mastersportal.com/studies/272888/computer-science.html?ref=search_card
Finland,Lahti,LUT University,Digital Systems And Service Development,"2,114,616 BDT / year",2 years,4.7,36,3%,https://www.mastersportal.com/studies/373438/digital-systems-and-service-development.html?ref=search_card
Denmark,Kongens Lyngby,Technical University of Denmark (DTU),Human-Centered Artificial Intelligence,"2,114,616 BDT / year",2 years,4.2,122,1%,https://www.mastersportal.com/studies/37783/human-centered-artificial-intelligence.html?ref=search_card
United States,California,Westcliff University,Information Technology,"1,805,911 BDT / year",2 years,4.4,7,,https://www.mastersportal.com/studies/280978/information-technology.html?ref=search_card
Ireland,Carlow,South East Technological University,Industrial Networks and Cybersecurity,"2,114,616 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/467004/industrial-networks-and-cybersecurity.html?ref=search_card
United Kingdom,England,University of York,Intelligent Robotics,"5,117,410 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/286184/intelligent-robotics.html?ref=search_card
United Kingdom,England,University of Bath,Artificial Intelligence for Engineering and Design with Professional Placement,"4,459,687 BDT / year",2 years,4.4,60,2%,https://www.mastersportal.com/studies/451286/artificial-intelligence-for-engineering-and-design-with-professional-placement.html?ref=search_card
United Kingdom,England,Newcastle University,Automation and Control,"4,820,633 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7172/automation-and-control.html?ref=search_card
United Kingdom,England,The University of Exeter,Security and Data Science,"4,058,636 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/447983/security-and-data-science.html?ref=search_card
United Kingdom,England,University of Greenwich,Big Data and Business Intelligence,"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/23799/big-data-and-business-intelligence.html?ref=search_card
United Kingdom,England,University of East Anglia,Computing Science (Part Time),"3,930,299 BDT / year",2 years,4.4,39,2%,https://www.mastersportal.com/studies/282631/computing-science.html?ref=search_card
United States,Pennsylvania,Saint Joseph's University,Business Intelligence and Analytics,"4,557,041 BDT / year",1 year,4.3,20,,https://www.mastersportal.com/studies/172933/business-intelligence-and-analytics.html?ref=search_card
United Kingdom,England,University of Leicester,Advanced Software Engineering,"3,793,942 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/309927/advanced-software-engineering.html?ref=search_card
Multiple locations,N/A,Pace University,Data Science,"3,068,653 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/342417/data-science.html?ref=search_card
United Kingdom,England,University of East Anglia,Behavioural Economics and Data Science,"3,641,543 BDT / year",1 year,4.4,39,2%,https://www.mastersportal.com/studies/325210/behavioural-economics-and-data-science.html?ref=search_card
United Kingdom,England,London Metropolitan University,Artificial Intelligence,"3,208,408 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/304457/artificial-intelligence.html?ref=search_card
United States,New York,Marist University,Information Systems,"2,793,025 BDT / year",1 year,1,1,,https://www.mastersportal.com/studies/266294/information-systems.html?ref=search_card
United Kingdom,England,University of Surrey,Economics (Econometrics and Big Data),"3,497,164 BDT / year",1 year,4.4,72,2%,https://www.mastersportal.com/studies/375359/economics.html?ref=search_card
United Kingdom,England,University of East Anglia,Advanced Computing Science,"3,930,299 BDT / year",1 year,,,2%,https://www.mastersportal.com/studies/1549/advanced-computing-science.html?ref=search_card
United Kingdom,England,University of Birmingham,AI and Sustainable Development,"4,871,967 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/476552/ai-and-sustainable-development.html?ref=search_card
United States,Florida,Nova Southeastern University,Computer Science,"3,634,608 BDT / year",1 year,4.4,44,8%,https://www.mastersportal.com/studies/257747/computer-science.html?ref=search_card
United Kingdom,England,Bournemouth University,Human Centred Artificial Intelligence for Games Development,"3,007,882 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/412253/human-centred-artificial-intelligence-for-games-development.html?ref=search_card
United Kingdom,England,University of Sunderland,Cybersecurity,"2,727,147 BDT / year",1 year,4.2,126,,https://www.mastersportal.com/studies/165756/cybersecurity.html?ref=search_card
United Kingdom,England,The University of Exeter,Health Data Science,"4,956,990 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/305571/health-data-science.html?ref=search_card
