Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Ireland,Letterkenny,Atlantic Technological University,Computing in Big Data Analytics and Artificial Intelligence,"1,973,641 BDT / year",1 year,3.6,48,,https://www.mastersportal.com/studies/473523/computing-in-big-data-analytics-and-artificial-intelligence.html?ref=search_card
United Kingdom,England,King's College London,Advanced Computing,"6,063,891 BDT / year",1 year,4.2,141,0.50%,https://www.mastersportal.com/studies/2313/advanced-computing.html?ref=search_card
United Kingdom,England,"City, University of London",Human-Computer Interaction Design,"4,323,329 BDT / year",1 year,4.2,86,5%,https://www.mastersportal.com/studies/7842/human-computer-interaction-design.html?ref=search_card
Germany,Bochum,Ruhr University Bochum,Computational Engineering,Free,2 years,3.7,25,2%,https://www.mastersportal.com/studies/1214/computational-engineering.html?ref=search_card
Germany,Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Computational Engineering,Free,2 years,4.1,47,1%,https://www.mastersportal.com/studies/948/computational-engineering.html?ref=search_card
Austria,Vienna,Vienna University of Technology,Software Engineering and Internet Computing,"204,977 BDT / year",2 years,3.9,24,3%,https://www.mastersportal.com/studies/467251/software-engineering-and-internet-computing.html?ref=search_card
United Kingdom,Scotland,University of Aberdeen,Cybersecurity and Machine Learning,"4,211,035 BDT / year",1 year,4.4,88,2%,https://www.mastersportal.com/studies/455023/cybersecurity-and-machine-learning.html?ref=search_card
United Kingdom,England,"Goldsmiths, University of London",Data Science,"3,906,236 BDT / year",1 year,4,54,5%,https://www.mastersportal.com/studies/47223/data-science.html?ref=search_card
United Kingdom,Scotland,University of the West of Scotland,Artificial Intelligence,"2,887,567 BDT / year",1 year,4,60,6%,https://www.mastersportal.com/studies/451267/artificial-intelligence.html?ref=search_card
China,Ningbo,University of Nottingham Ningbo China,Computer Science,"2,240,721 BDT / year",2 years,3,1,,https://www.mastersportal.com/studies/450477/computer-science.html?ref=search_card
Multiple locations,N/A,University of the West of Scotland,Information Technology with Data Analytics,"2,486,516 BDT / year",1 year,4,60,6%,https://www.mastersportal.com/studies/451356/information-technology-with-data-analytics.html?ref=search_card
Netherlands,Eindhoven,Eindhoven University of Technology (TU/e),Artificial Intelligence and Engineering Systems - Mastertrack High-tech Systems and Robotics,"2,960,462 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/459595/artificial-intelligence-and-engineering-systems-mastertrack-high-tech-systems-and-robotics.html?ref=search_card
United States,Utah,University of Utah,Cybersecurity Management,"4,593,791 BDT / year",1 year,4.4,16,2%,https://www.mastersportal.com/studies/460537/cybersecurity-management.html?ref=search_card
United Kingdom,Scotland,Heriot-Watt University,Business Analytics and Consultancy with Advanced Practice,"3,399,629 BDT / year",2 years,4.2,81,3%,https://www.mastersportal.com/studies/458557/business-analytics-and-consultancy-with-advanced-practice.html?ref=search_card
United Kingdom,Scotland,University of the West of Scotland,Internet of Things,"2,887,567 BDT / year",1 year,4,60,6%,https://www.mastersportal.com/studies/451363/internet-of-things.html?ref=search_card
United Arab Emirates,Sharjah,BIG Academy,Master of Science in Data Analytics,,1 year,3,1,,https://www.mastersportal.com/studies/452201/master-of-science-in-data-analytics.html?ref=search_card
United States,Illinois,The Citadel - The Military College of South Carolina,Computer and Information Sciences,"2,910,626 BDT / year",1 year,,,,https://www.mastersportal.com/studies/442226/computer-and-information-sciences.html?ref=search_card
United Kingdom,England,Imperial,Geotechnical and Geoenvironmental Engineering,"6,882,035 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/448402/geotechnical-and-geoenvironmental-engineering.html?ref=search_card
United States,New York,Columbia University,Foundations of Computer Science,"8,998,441 BDT / year",1 year,4.3,95,0.10%,https://www.mastersportal.com/studies/456648/foundations-of-computer-science.html?ref=search_card
United States,New York,Baruch College,Information Systems,"2,164,594 BDT / year",1½ year,4.3,53,,https://www.mastersportal.com/studies/461583/information-systems.html?ref=search_card
United States,New York,Columbia University,Software Systems,"8,742,658 BDT / year",1 year,4.3,95,0.10%,https://www.mastersportal.com/studies/456652/software-systems.html?ref=search_card
United Kingdom,England,University of Southampton,Management and Artificial Intelligence,"5,213,663 BDT / year",1 year,4.4,93,0.50%,https://www.mastersportal.com/studies/487303/management-and-artificial-intelligence.html?ref=search_card
United Kingdom,England,Newcastle University,Geospatial Artificial Intelligence,"4,820,633 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/488405/geospatial-artificial-intelligence.html?ref=search_card
United States,New York,Columbia University,Accounting and Fundamental Analysis,"7,139,854 BDT / year",1 year,4.3,95,0.10%,https://www.mastersportal.com/studies/456484/accounting-and-fundamental-analysis.html?ref=search_card
Austria,Salzburg,University of Salzburg,Human-Computer Interaction,"204,977 BDT / year",2 years,4.3,173,4%,https://www.mastersportal.com/studies/467568/human-computer-interaction.html?ref=search_card
Austria,Leoben,Technical University of Leoben,Industrial Data Science,"204,977 BDT / year",2 years,4.5,6,7%,https://www.mastersportal.com/studies/432412/industrial-data-science.html?ref=search_card
United Kingdom,England,Escape Studios,Programming for Games and VFX,"3,207,606 BDT / year",1 year,4.1,7,,https://www.mastersportal.com/studies/478201/programming-for-games-and-vfx.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Computer Science (Joint Degree UvA-VU) - International track - Software Engineers for Green Deal,"3,404,531 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/486604/computer-science-international-track-software-engineers-for-green-deal.html?ref=search_card
United States,Illinois,Northwestern University,Health Analytics,"17,228,555 BDT / year",1 year,4.2,55,0.50%,https://www.mastersportal.com/studies/472510/health-analytics.html?ref=search_card
United Kingdom,Scotland,University of Strathclyde,Advanced Computer Science with Cyber Security (January),"4,852,717 BDT / year",1 year,4.2,66,2%,https://www.mastersportal.com/studies/486173/advanced-computer-science-with-cyber-security.html?ref=search_card
United States,Florida,University of Florida,Computer Science,"3,691,448 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/96493/computer-science.html?ref=search_card
United States,Ohio,The University of Akron,Computer Science,"2,873,876 BDT / year",1 year,4.6,5,8%,https://www.mastersportal.com/studies/99668/computer-science.html?ref=search_card
United Kingdom,England,Imperial,Artificial Intelligence,"7,026,413 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/83652/artificial-intelligence.html?ref=search_card
United States,North Carolina,North Carolina State University,Computer Science,"4,169,080 BDT / year",1 year,4.2,46,2%,https://www.mastersportal.com/studies/98125/computer-science.html?ref=search_card
United States,Texas,Texas A&M University,Computer Science,"2,820,220 BDT / year",1 year,4.3,20,1%,https://www.mastersportal.com/studies/98515/computer-science.html?ref=search_card
Germany,Berlin,TU Berlin,Geodesy and Geoinformation Science,Free,2 years,4,60,1%,https://www.mastersportal.com/studies/106645/geodesy-and-geoinformation-science.html?ref=search_card
Germany,Kaiserslautern,University of Kaiserslautern-Landau,Computer Science,Free,2 years,4.7,192,6%,https://www.mastersportal.com/studies/107372/computer-science.html?ref=search_card
Germany,Chemnitz,Chemnitz University of Technology,Web Engineering,Free,2 years,4.1,27,9%,https://www.mastersportal.com/studies/107762/web-engineering.html?ref=search_card
United States,Texas,The University of Texas at San Antonio,Computer Science,"3,446,446 BDT / year",1 year,4.4,16,3%,https://www.mastersportal.com/studies/103219/computer-science.html?ref=search_card
United States,Mississippi,Villanova University,Cybersecurity,"5,861,678 BDT / year",1 year,3.9,11,7%,https://www.mastersportal.com/studies/111935/cybersecurity.html?ref=search_card
United States,Mississippi,Villanova University,Software Engineering,"5,861,678 BDT / year",1 year,3.9,11,7%,https://www.mastersportal.com/studies/111560/software-engineering.html?ref=search_card
Germany,Trier,Trier University,Economics - European Social Security and Health Systems,Free,2 years,3.9,8,8%,https://www.mastersportal.com/studies/107275/economics-european-social-security-and-health-systems.html?ref=search_card
United States,North Carolina,The University of North Carolina at Charlotte,Information Technology,"2,526,830 BDT / year",1 year,4,6,4%,https://www.mastersportal.com/studies/112273/information-technology.html?ref=search_card
United States,New York,New York University,Cybersecurity,"5,353,788 BDT / year",1 year,4.3,124,0.50%,https://www.mastersportal.com/studies/80174/cybersecurity.html?ref=search_card
United Kingdom,England,University of Oxford,Social Science of the Internet,"5,815,239 BDT / year",10 months,4.2,128,0.10%,https://www.mastersportal.com/studies/83164/social-science-of-the-internet.html?ref=search_card
United States,California,University of Southern California,Analytics,"9,793,963 BDT / year",1 year,4.1,62,0.50%,https://www.mastersportal.com/studies/100836/analytics.html?ref=search_card
United States,California,University of Southern California,Neuroimaging and Informatics,"8,974,431 BDT / year",1 year,4.1,62,0.50%,https://www.mastersportal.com/studies/101085/neuroimaging-and-informatics.html?ref=search_card
United States,California,University of Southern California,Computer Science - Data Science,"6,964,555 BDT / year",1½ year,4.1,62,0.50%,https://www.mastersportal.com/studies/101002/computer-science-data-science.html?ref=search_card
United States,California,University of Southern California,Computer Science - Game Development,"10,446,894 BDT / year",1 year,4.1,62,0.50%,https://www.mastersportal.com/studies/101006/computer-science-game-development.html?ref=search_card
United States,Pennsylvania,Carnegie Mellon University,Computational Data Science,"6,835,561 BDT / year",1 year,4.3,24,0.50%,https://www.mastersportal.com/studies/102603/computational-data-science.html?ref=search_card
United States,Texas,University of Texas El Paso,Software Engineering,"2,147,444 BDT / year",1 year,4.3,19,5%,https://www.mastersportal.com/studies/100238/software-engineering.html?ref=search_card
United States,California,California State University Fullerton,Computer Science,"931,988 BDT / year",4 years,4.4,8,8%,https://www.mastersportal.com/studies/99464/computer-science.html?ref=search_card
United States,Pennsylvania,University of Pittsburgh,Health Informatics,"4,792,488 BDT / year","1 year, 4 months",4,7,1%,https://www.mastersportal.com/studies/100156/health-informatics.html?ref=search_card
United States,Pennsylvania,Carnegie Mellon University,Information Security,"6,700,810 BDT / year",1½ year,4.3,24,0.50%,https://www.mastersportal.com/studies/102469/information-security.html?ref=search_card
United Kingdom,England,University of Oxford,Mathematical Modelling and Scientific Computing,"6,617,341 BDT / year",1 year,4.2,128,0.10%,https://www.mastersportal.com/studies/92113/mathematical-modelling-and-scientific-computing.html?ref=search_card
United States,D.C.,Johns Hopkins University,Information Systems,"10,780,097 BDT / year",1 year,4.6,49,0.10%,https://www.mastersportal.com/studies/93214/information-systems.html?ref=search_card
United Kingdom,Wales,Aberystwyth University,Computer Science,"3,595,021 BDT / year",1 year,4.2,39,5%,https://www.mastersportal.com/studies/92708/computer-science.html?ref=search_card
United Kingdom,Scotland,University of St Andrews,Software Engineering,"4,811,007 BDT / year",1 year,4.4,21,2%,https://www.mastersportal.com/studies/12405/software-engineering.html?ref=search_card
Netherlands,Groningen,University of Groningen,Artificial Intelligence,"3,510,262 BDT / year",2 years,4.2,135,0.50%,https://www.mastersportal.com/studies/14090/artificial-intelligence.html?ref=search_card
Germany,Freiburg,University of Freiburg,Computer Science,"422,923 BDT / year",2 years,4.4,39,1%,https://www.mastersportal.com/studies/8782/computer-science.html?ref=search_card
United Kingdom,England,Aston University,Information Systems and Business Analysis,"3,769,879 BDT / year",1 year,4.2,110,3%,https://www.mastersportal.com/studies/55799/information-systems-and-business-analysis.html?ref=search_card
Canada,St. John's,Memorial University of Newfoundland,Computer Engineering,"186,655 BDT / year",1 year,4,73,3%,https://www.mastersportal.com/studies/62037/computer-engineering.html?ref=search_card
Switzerland,Bern,University of Bern,Bioinformatics and Computational Biology,"287,855 BDT / year",2 years,4.2,11,1%,https://www.mastersportal.com/studies/58528/bioinformatics-and-computational-biology.html?ref=search_card
United States,Massachusetts,Clark University,Geographic Information Science (GIS),"4,802,043 BDT / year",1½ year,4.8,4,7%,https://www.mastersportal.com/studies/61305/geographic-information-science.html?ref=search_card
United States,Pennsylvania,Carnegie Mellon University,Software Management,"10,553,960 BDT / year",1 year,4.3,24,0.50%,https://www.mastersportal.com/studies/61127/software-management.html?ref=search_card
United States,Pennsylvania,Carnegie Mellon University,Information Security and Assurance,"6,828,211 BDT / year",2 years,4.3,24,0.50%,https://www.mastersportal.com/studies/61172/information-security-and-assurance.html?ref=search_card
Canada,Vancouver,University of British Columbia,Computer Science,"1,585,595 BDT / year",2 years,4.2,228,0.50%,https://www.mastersportal.com/studies/64151/computer-science.html?ref=search_card
United States,California,Santa Clara University,Information Systems,"4,060,176 BDT / year",2 years,4.5,6,9%,https://www.mastersportal.com/studies/64690/information-systems.html?ref=search_card
United States,Ohio,Wright State University,Computer Science,"3,027,492 BDT / year",1 year,4,49,9%,https://www.mastersportal.com/studies/65063/computer-science.html?ref=search_card
United States,Texas,University of Texas at Austin,Computer Science,"2,224,865 BDT / year",1 year,4.3,34,0.50%,https://www.mastersportal.com/studies/63956/computer-science.html?ref=search_card
United States,New York,Columbia University,Data Science,"8,998,441 BDT / year",1 year,4.3,95,0.10%,https://www.mastersportal.com/studies/63029/data-science.html?ref=search_card
Canada,Saskatoon,University of Saskatchewan,Computer Science,"1,062,839 BDT / year",2 years,4.1,61,2%,https://www.mastersportal.com/studies/64511/computer-science.html?ref=search_card
United States,Pennsylvania,Pennsylvania State University,Computer Science,"5,731,826 BDT / year",1 year,4.4,44,0.50%,https://www.mastersportal.com/studies/63510/computer-science.html?ref=search_card
United States,New Jersey,Rutgers University,Health Informatics,"4,080,757 BDT / year",1½ year,4.2,64,2%,https://www.mastersportal.com/studies/63867/health-informatics.html?ref=search_card
France,Bordeaux,University of Bordeaux,Functional Advanced Materials Engineering with Artificial Intelligence for Sustainability (FAMEAIS),"1,268,769 BDT / year",2 years,4.1,54,2%,https://www.mastersportal.com/studies/46190/functional-advanced-materials-engineering-with-artificial-intelligence-for-sustainability.html?ref=search_card
United Kingdom,Wales,Swansea University,Computational Mechanics,"721,892 BDT / year",2 years,4.2,113,2%,https://www.mastersportal.com/studies/44560/computational-mechanics.html?ref=search_card
United Kingdom,England,University of Southampton,Artificial Intelligence,"5,614,714 BDT / year",1 year,4.4,93,0.50%,https://www.mastersportal.com/studies/35516/artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Southampton,Software Engineering,"5,614,714 BDT / year",1 year,4.4,93,0.50%,https://www.mastersportal.com/studies/35522/software-engineering.html?ref=search_card
United Kingdom,Scotland,University of Strathclyde,Advanced Software Engineering,"4,852,717 BDT / year",1 year,4.2,66,2%,https://www.mastersportal.com/studies/47520/advanced-software-engineering.html?ref=search_card
Belgium,Leuven,KU Leuven,Statistics and Data Science,"1,338,270 BDT / year",2 years,4.1,137,0.50%,https://www.mastersportal.com/studies/38347/statistics-and-data-science.html?ref=search_card
Sweden,Halmstad,Halmstad University,Embedded and Intelligent Systems,"1,937,750 BDT / year",2 years,4.5,14,,https://www.mastersportal.com/studies/22785/embedded-and-intelligent-systems.html?ref=search_card
Turkey,Izmir,Yasar University,Computer Engineering,"441,004 BDT / year",2 years,4.3,140,,https://www.mastersportal.com/studies/23045/computer-engineering.html?ref=search_card
Austria,Linz,Johannes Kepler University Linz,Computer Science,"204,977 BDT / year",2 years,4.2,21,3%,https://www.mastersportal.com/studies/44653/computer-science.html?ref=search_card
Finland,Tampere,Tampere University,"Human-Technology Interaction, Computing Sciences and Electrical Engineering","1,691,693 BDT / year",2 years,4.2,45,2%,https://www.mastersportal.com/studies/29634/human-technology-interaction-computing-sciences-and-electrical-engineering.html?ref=search_card
United Kingdom,England,Durham University,Economics,"4,411,561 BDT / year",1 year,4.3,42,1%,https://www.mastersportal.com/studies/45593/economics.html?ref=search_card
Sweden,Stockholm,KTH Royal Institute of Technology,Computer Science,"2,309,901 BDT / year",2 years,4.3,44,1%,https://www.mastersportal.com/studies/46948/computer-science.html?ref=search_card
United Kingdom,Wales,Swansea University,Geographic Information and Climate Change,"3,713,732 BDT / year",1 year,4.2,113,2%,https://www.mastersportal.com/studies/44441/geographic-information-and-climate-change.html?ref=search_card
United Kingdom,Wales,Swansea University,Advanced Computer Science,"3,697,690 BDT / year",1 year,4.2,113,2%,https://www.mastersportal.com/studies/44429/advanced-computer-science.html?ref=search_card
United States,Florida,University of Florida,Computer Science,"3,691,448 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/96493/computer-science.html?ref=search_card
United States,Ohio,The University of Akron,Computer Science,"2,873,876 BDT / year",1 year,4.6,5,8%,https://www.mastersportal.com/studies/99668/computer-science.html?ref=search_card
United States,Florida,University of Central Florida,Computer Science,"2,816,055 BDT / year",2 years,3.9,54,3%,https://www.mastersportal.com/studies/66493/computer-science.html?ref=search_card
United States,California,"University of California, Santa Barbara",Electrical & Computer Engineering,"1,716,975 BDT / year",1 year,4.2,32,0.50%,https://www.mastersportal.com/studies/68148/electrical-computer-engineering.html?ref=search_card
United States,Missouri,University of Missouri - Kansas City,Computer Science,"4,726,092 BDT / year",1 year,4.4,7,5%,https://www.mastersportal.com/studies/66964/computer-science.html?ref=search_card
United States,Florida,University of Miami,Computer Science,"7,773,430 BDT / year",1 year,4.4,14,2%,https://www.mastersportal.com/studies/67333/computer-science.html?ref=search_card
Canada,Kingston,Queen's University,Management - Analytics,"7,264,602 BDT / year",1 year,4.2,43,2%,https://www.mastersportal.com/studies/67867/management-analytics.html?ref=search_card
United States,North Carolina,North Carolina State University,Computer Science,"4,169,080 BDT / year",1 year,4.2,46,2%,https://www.mastersportal.com/studies/98125/computer-science.html?ref=search_card
United States,Texas,Texas A&M University,Computer Science,"2,820,220 BDT / year",1 year,4.3,20,1%,https://www.mastersportal.com/studies/98515/computer-science.html?ref=search_card
Germany,Berlin,TU Berlin,Geodesy and Geoinformation Science,Free,2 years,4,60,1%,https://www.mastersportal.com/studies/106645/geodesy-and-geoinformation-science.html?ref=search_card
Germany,Kaiserslautern,University of Kaiserslautern-Landau,Computer Science,Free,2 years,4.7,192,6%,https://www.mastersportal.com/studies/107372/computer-science.html?ref=search_card
Germany,Chemnitz,Chemnitz University of Technology,Web Engineering,Free,2 years,4.1,27,9%,https://www.mastersportal.com/studies/107762/web-engineering.html?ref=search_card
United States,California,Stanford University,Biomedical Informatics,"3,243,829 BDT / year",1 year,4.1,56,0.10%,https://www.mastersportal.com/studies/135723/biomedical-informatics.html?ref=search_card
United States,Idaho,Idaho State University,Geographic Information Science,"3,777,934 BDT / year",1 year,4.3,9,9%,https://www.mastersportal.com/studies/161176/geographic-information-science.html?ref=search_card
United States,Texas,The University of Texas Rio Grande Valley,Computer Science,"2,164,962 BDT / year",1 year,4.1,27,7%,https://www.mastersportal.com/studies/183245/computer-science.html?ref=search_card
United States,Texas,University of Houston Clear Lake,Instructional Design and Technology with Game Theory and Design Specialization,"2,370,641 BDT / year",1 year,3.7,3,,https://www.mastersportal.com/studies/186007/instructional-design-and-technology-with-game-theory-and-design-specialization.html?ref=search_card
United States,Pennsylvania,Gannon University,Computer and Information Science (Software Engineering),"4,869,419 BDT / year",1 year,5,2,,https://www.mastersportal.com/studies/198814/computer-and-information-science.html?ref=search_card
United States,New Jersey,Fairleigh Dickinson University,Computer Engineering,"3,645,633 BDT / year",1 year,4,9,,https://www.mastersportal.com/studies/194018/computer-engineering.html?ref=search_card
Germany,Weimar,Bauhaus University Weimar,Digital Engineering,Free,2 years,4.2,12,,https://www.mastersportal.com/studies/191718/digital-engineering.html?ref=search_card
Russia,Kazan,Kazan Federal University,Geology - Complex Data Analysis in Petroleum Geosciences,"402,915 BDT / year",2 years,4.5,440,4%,https://www.mastersportal.com/studies/193949/geology-complex-data-analysis-in-petroleum-geosciences.html?ref=search_card
Finland,Helsinki,Aalto University,"Computer, Communication and Information Sciences - Game Design and Production","2,396,565 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/154680/computer-communication-and-information-sciences-game-design-and-production.html?ref=search_card
United States,Illinois,Northwestern University,Computer Science,"5,628,436 BDT / year",1 year,4.2,55,0.50%,https://www.mastersportal.com/studies/134731/computer-science.html?ref=search_card
Sweden,Halmstad,Halmstad University,Network Forensics,"1,937,750 BDT / year",1 year,4.5,14,,https://www.mastersportal.com/studies/155321/network-forensics.html?ref=search_card
United States,New Jersey,Rowan University,Electrical and Computer Engineering,"3,083,353 BDT / year",1 year,4.2,12,9%,https://www.mastersportal.com/studies/148058/electrical-and-computer-engineering.html?ref=search_card
United Kingdom,England,University of Oxford,Social Data Science,"5,815,239 BDT / year",10 months,4.2,128,0.10%,https://www.mastersportal.com/studies/208732/social-data-science.html?ref=search_card
United States,Connecticut,Sacred Heart University,Cybersecurity,"3,546,407 BDT / year",1 year,4.1,13,,https://www.mastersportal.com/studies/199515/cybersecurity.html?ref=search_card
United States,New Jersey,Fairleigh Dickinson University,Computer Science,"3,505,981 BDT / year",1 year,4,9,,https://www.mastersportal.com/studies/194023/computer-science.html?ref=search_card
Germany,München,Technical University of Munich,Mathematics in Data Science,"1,691,693 BDT / year",2 years,4,218,0.50%,https://www.mastersportal.com/studies/217063/mathematics-in-data-science.html?ref=search_card
Portugal,Braga,University of Minho,Informatics Engineering,"916,334 BDT / year",2 years,4.1,103,3%,https://www.mastersportal.com/studies/232413/informatics-engineering.html?ref=search_card
United Kingdom,England,Technological University Dublin,Computer Science (Advanced Software Development),"3,066,193 BDT / year",1 year,3.9,90,8%,https://www.mastersportal.com/studies/240491/computer-science.html?ref=search_card
Sweden,Skövde,University of Skövde,Intelligent Automation,"1,732,425 BDT / year",2 years,4.5,23,,https://www.mastersportal.com/studies/248959/intelligent-automation.html?ref=search_card
United States,North Carolina,Duke University,Computer Science,"8,296,264 BDT / year",2 years,4.2,25,0.50%,https://www.mastersportal.com/studies/248368/computer-science.html?ref=search_card
Ireland,Letterkenny,Atlantic Technological University,Computing in DevOps,"1,973,641 BDT / year",1 year,3.6,48,,https://www.mastersportal.com/studies/229750/computing-in-devops.html?ref=search_card
United Kingdom,England,Royal Holloway University of London,Information Security with a Year in Industry,"4,989,074 BDT / year",2 years,4.4,66,3%,https://www.mastersportal.com/studies/237851/information-security-with-a-year-in-industry.html?ref=search_card
United States,New York,University of Rochester,Data Science,"7,901,321 BDT / year",1 year,4.8,6,1%,https://www.mastersportal.com/studies/243562/data-science.html?ref=search_card
United States,Wisconsin,University of Wisconsin - Whitewater,Computer Science,"1,445,880 BDT / year",1 year,4,2,,https://www.mastersportal.com/studies/250908/computer-science.html?ref=search_card
United States,Florida,University of North Florida,Computer and Information Science - Information Systems,"2,302,041 BDT / year",1 year,4.3,13,10%,https://www.mastersportal.com/studies/253253/computer-and-information-science-information-systems.html?ref=search_card
United States,Utah,University of Utah,Computer Science,"2,414,252 BDT / year",2 years,4.4,16,2%,https://www.mastersportal.com/studies/232478/computer-science.html?ref=search_card
United States,Virginia,University of the Potomac,Information Technology,"1,396,513 BDT / year",1 year,4.3,6,,https://www.mastersportal.com/studies/245657/information-technology.html?ref=search_card
United States,Florida,"South University, Tampa",Information Systems,"4,086,637 BDT / year",1 year,,,,https://www.mastersportal.com/studies/243447/information-systems.html?ref=search_card
United Kingdom,England,University of Chester,Advanced Computer Science,"2,285,991 BDT / year",1 year,4.2,72,,https://www.mastersportal.com/studies/247214/advanced-computer-science.html?ref=search_card
United States,Wisconsin,Davenport University,Information Assurance and Cyber Security,"1,622,895 BDT / year",2 years,4.7,3,,https://www.mastersportal.com/studies/237078/information-assurance-and-cyber-security.html?ref=search_card
Germany,Magdeburg,Otto von Guericke University Magdeburg,Operations Research and Business Analytics,Free,2 years,4.4,73,6%,https://www.mastersportal.com/studies/241758/operations-research-and-business-analytics.html?ref=search_card
Ireland,Dublin,University College Dublin,Business Analytics,"3,496,165 BDT / year",1 year,4.3,184,1%,https://www.mastersportal.com/studies/130878/business-analytics.html?ref=search_card
United States,New York,Fordham University,Computer Science,"4,962,765 BDT / year",1½ year,4.3,24,6%,https://www.mastersportal.com/studies/123023/computer-science.html?ref=search_card
United States,Oklahoma,University of Oklahoma,Computer Science,"2,766,320 BDT / year",1 year,4.4,30,3%,https://www.mastersportal.com/studies/123799/computer-science.html?ref=search_card
United Kingdom,England,University of East London,Computer Science,"2,685,437 BDT / year",1 year,4.3,165,8%,https://www.mastersportal.com/studies/160510/computer-science.html?ref=search_card
Turkey,Istanbul,Bahçeşehir University (BAU),Cyber Security (Thesis),"1,715,015 BDT / year",2 years,4.1,194,6%,https://www.mastersportal.com/studies/166148/cyber-security.html?ref=search_card
United Kingdom,England,Birmingham City University,Advanced Computer Science,"2,841,045 BDT / year",1 year,4.1,132,5%,https://www.mastersportal.com/studies/160037/advanced-computer-science.html?ref=search_card
United States,Arizona,Arizona State University,Information Systems Management,"7,472,567 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/131811/information-systems-management.html?ref=search_card
United States,North Carolina,University of North Carolina Wilmington,Computer Science and Information Systems,"2,617,113 BDT / year",2 years,4.1,12,10%,https://www.mastersportal.com/studies/122206/computer-science-and-information-systems.html?ref=search_card
United States,Texas,Missouri University of Science and Technology,Information Science and Technology,"3,214,674 BDT / year",1 year,4,124,4%,https://www.mastersportal.com/studies/122204/information-science-and-technology.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Computational Science (Joint Degree UvA-VU),"3,665,334 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/125928/computational-science.html?ref=search_card
United States,Michigan,Central Michigan University,Information Systems,"1,918,367 BDT / year",2 years,3.9,44,7%,https://www.mastersportal.com/studies/140037/information-systems.html?ref=search_card
United States,Tennessee,Middle Tennessee State University,Computer Science,"2,366,721 BDT / year",1 year,4.8,5,10%,https://www.mastersportal.com/studies/124404/computer-science.html?ref=search_card
United States,Illinois,DePaul University,Software Engineering,"3,130,883 BDT / year",2 years,4,21,9%,https://www.mastersportal.com/studies/132546/software-engineering.html?ref=search_card
United States,West Virginia,Marshall University,Health Informatics,"2,709,724 BDT / year",2 years,4.3,4,,https://www.mastersportal.com/studies/140596/health-informatics.html?ref=search_card
United States,D.C.,American University Washington DC,Analytics,"8,408,475 BDT / year",1 year,3.9,176,4%,https://www.mastersportal.com/studies/127982/analytics.html?ref=search_card
United States,Louisiana,University of Louisiana at Lafayette,Computer Engineering,"3,133,088 BDT / year",1 year,4.3,7,9%,https://www.mastersportal.com/studies/138975/computer-engineering.html?ref=search_card
United States,Mississippi,Mississippi State University,Computer Science,"3,501,816 BDT / year",1 year,4.2,10,4%,https://www.mastersportal.com/studies/130456/computer-science.html?ref=search_card
United States,Mississippi,University of Southern Mississippi,Computer Science,"752,402 BDT / year",1 year,4.6,7,9%,https://www.mastersportal.com/studies/130451/computer-science.html?ref=search_card
United Kingdom,England,University of Leeds,High-Performance Graphics and Games Engineering,,1 year,4.4,72,0.50%,https://www.mastersportal.com/studies/144641/high-performance-graphics-and-games-engineering.html?ref=search_card
United States,Colorado,University of Colorado Colorado Springs (UCCS),Computer Science - Games and Media Integration,"2,356,676 BDT / year",1 year,3.6,7,,https://www.mastersportal.com/studies/145023/computer-science-games-and-media-integration.html?ref=search_card
United Kingdom,England,"City, University of London",Business Analytics,"5,309,915 BDT / year",1 year,4.2,86,5%,https://www.mastersportal.com/studies/263616/business-analytics.html?ref=search_card
United States,Michigan,Oakland University,Software Engineering and Information Technology,"2,541,285 BDT / year",1 year,3.5,4,9%,https://www.mastersportal.com/studies/137998/software-engineering-and-information-technology.html?ref=search_card
United States,Florida,Florida State University,Information Technology,"2,721,974 BDT / year",1 year,4.3,383,2%,https://www.mastersportal.com/studies/114852/information-technology.html?ref=search_card
United States,Wisconsin,Marquette University,Computational Science,"2,572,523 BDT / year",2 years,5,1,6%,https://www.mastersportal.com/studies/119593/computational-science.html?ref=search_card
United States,Nevada,"University of Nevada, Reno",Information Systems,"2,981,432 BDT / year",1 year,4.1,14,4%,https://www.mastersportal.com/studies/121050/information-systems.html?ref=search_card
United States,New York,Rensselaer Polytechnic Institute,Information Technology,"7,889,071 BDT / year",1 year,,,3%,https://www.mastersportal.com/studies/115243/information-technology.html?ref=search_card
